,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
0,0.3444346681970398,1.1381944300528837,0.06713935699597562,001,linear,0,raw,corr,"medium
annulus"
0,-0.47798501616567346,-1.9324661281317719,0.23515454738714514,001,camel,1,raw,corr,"medium
annulus"
0,-1.2648783744625054,-2.1935786501473484,0.7204460683564171,001,camel_deriv,2,raw,corr,"medium
annulus"
1,-0.28252121693999077,-1.6378665743590137,0.1297035197920221,002,linear,0,raw,corr,"medium
annulus"
1,-0.26750644705276433,-1.8899011129654002,0.2808070646272791,002,camel,1,raw,corr,"medium
annulus"
1,0.1611531990006238,0.37776685021326184,0.5606700352772445,002,camel_deriv,2,raw,corr,"medium
annulus"
2,0.016692841550256857,0.09437693705803077,0.0004945889412039106,005,linear,0,raw,corr,"medium
annulus"
2,-0.13338312533945215,-0.85311174742287,0.04152842879416452,005,camel,1,raw,corr,"medium
annulus"
2,0.33348919765359386,0.6868284884321149,0.3783272540799002,005,camel_deriv,2,raw,corr,"medium
annulus"
3,0.06897201272952265,0.15593487613708157,0.0013490490302120461,006,linear,0,raw,corr,"medium
annulus"
3,0.05941933759294396,0.14891818012509653,0.002650099272309747,006,camel,1,raw,corr,"medium
annulus"
3,0.49705221492663465,0.567961897651317,0.6773300016283925,006,camel_deriv,2,raw,corr,"medium
annulus"
4,-1.3846049873084287,-3.373376908455428,0.38733148065581113,008,linear,0,raw,corr,"medium
annulus"
4,0.683656584893818,2.0633576669507954,0.5100368413710373,008,camel,1,raw,corr,"medium
annulus"
4,1.5890318094545077,1.6689257255100116,0.7278970781746504,008,camel_deriv,2,raw,corr,"medium
annulus"
5,0.33074958516503433,2.1384682862599846,0.2025888082401076,010,linear,0,raw,corr,"medium
annulus"
5,0.26310918163700325,2.118817413736978,0.36917744032945055,010,camel,1,raw,corr,"medium
annulus"
5,-0.4505458038411547,-1.3271560895922716,0.6829251818784292,010,camel_deriv,2,raw,corr,"medium
annulus"
6,-0.9622640982444848,-5.49044221169118,0.626129056600062,011,linear,0,raw,corr,"medium
annulus"
6,-0.05997590724517471,-0.3807149315155085,0.6292897725393647,011,camel,1,raw,corr,"medium
annulus"
6,0.3383500959409823,0.6966829582348926,0.763054451011357,011,camel_deriv,2,raw,corr,"medium
annulus"
7,-0.2633251558903698,-1.2115892787257008,0.07540335204125048,013,linear,0,raw,corr,"medium
annulus"
7,0.16259886597112677,0.846064117613112,0.11276254609633862,013,camel,1,raw,corr,"medium
annulus"
7,-0.36103402979184285,-0.8310494492941841,0.6950985237911149,013,camel_deriv,2,raw,corr,"medium
annulus"
8,0.8573896112159444,5.121195905032132,0.5930055516659085,014,linear,0,raw,corr,"medium
annulus"
8,0.228719938530924,1.6270052027599675,0.6478416943408347,014,camel,1,raw,corr,"medium
annulus"
8,0.714408756124946,1.381680792815834,0.6796007795955441,014,camel_deriv,2,raw,corr,"medium
annulus"
9,0.25702770442748035,1.6282105573853483,0.1283744458794882,015,linear,0,raw,corr,"medium
annulus"
9,0.11165461031612706,0.7981074274952931,0.1598539982797933,015,camel,1,raw,corr,"medium
annulus"
9,0.5535343961988173,1.681840752692417,0.6872846369156521,015,camel_deriv,2,raw,corr,"medium
annulus"
10,-0.40938113928293113,-4.2070469960252455,0.4957876479171436,022,linear,0,raw,corr,"medium
annulus"
10,-0.1008537326074703,-1.195462451136469,0.534887986256553,022,camel,1,raw,corr,"medium
annulus"
10,0.11888955443037201,0.5362149498881543,0.783946834843557,022,camel_deriv,2,raw,corr,"medium
annulus"
0,1.1888513191123857,2.619330451213823,0.27597127283941825,001,linear,0,raw,corr,"large
annulus"
0,1.0955271526288635,3.512838874845756,0.5804883143723687,001,camel,1,raw,corr,"large
annulus"
0,3.4582183404006246,3.9857911918343496,0.7816287045975462,001,camel_deriv,2,raw,corr,"large
annulus"
1,-0.5927049428304575,-3.949595717533653,0.46427465429909376,002,linear,0,raw,corr,"large
annulus"
1,-0.03843650838932372,-0.2844168464198322,0.46681178158781744,002,camel,1,raw,corr,"large
annulus"
1,0.6891646929673902,2.571116810813713,0.858937580260821,002,camel_deriv,2,raw,corr,"large
annulus"
2,-0.24607531425634366,-4.5781262053434775,0.5379786616227311,005,linear,0,raw,corr,"large
annulus"
2,0.0854690431638964,1.9483181590294152,0.6223127507433224,005,camel,1,raw,corr,"large
annulus"
2,0.2139881049937134,2.275317289990312,0.8832558000183163,005,camel_deriv,2,raw,corr,"large
annulus"
3,0.5044993508839576,1.314336506981774,0.08756721151742997,006,linear,0,raw,corr,"large
annulus"
3,-0.047865277305120996,-0.13822191615102267,0.08859148982812293,006,camel,1,raw,corr,"large
annulus"
3,-1.5921210819141571,-1.4668177743043718,0.39781326660403893,006,camel_deriv,2,raw,corr,"large
annulus"
4,0.6191981037111438,0.9349495252676886,0.04631368896604482,008,linear,0,raw,corr,"large
annulus"
4,1.408702577766822,2.871530813198752,0.3578045284492837,008,camel,1,raw,corr,"large
annulus"
4,4.25385597486735,2.5300848068790343,0.4927096817404317,008,camel_deriv,2,raw,corr,"large
annulus"
5,0.38612959534265096,1.6176081121717594,0.12691951614193064,010,linear,0,raw,corr,"large
annulus"
5,-0.27398136732587874,-1.3366841440288217,0.2099544428366069,010,camel,1,raw,corr,"large
annulus"
5,-1.6135365644702895,-2.4101442269282742,0.4331804579706652,010,camel_deriv,2,raw,corr,"large
annulus"
6,-0.15444769507114856,-0.7990757005095974,0.03425818721014495,011,linear,0,raw,corr,"large
annulus"
6,0.40158957276498214,2.7742751841755227,0.3352279683152166,011,camel,1,raw,corr,"large
annulus"
6,0.7470219540713623,2.3773403381281772,0.7893329780866887,011,camel_deriv,2,raw,corr,"large
annulus"
7,0.19830947678934233,0.8484196337191754,0.03845208092276642,013,linear,0,raw,corr,"large
annulus"
7,0.4402341239465115,2.4191124641261283,0.28469108020013467,013,camel,1,raw,corr,"large
annulus"
7,1.898015642786188,3.0844954847301747,0.4499841108177629,013,camel_deriv,2,raw,corr,"large
annulus"
8,-0.047067413401570564,-0.45044754681218857,0.011146738106197263,014,linear,0,raw,corr,"large
annulus"
8,0.2173635208297998,2.77912286973532,0.32006029952964143,014,camel,1,raw,corr,"large
annulus"
8,0.2170486537459465,0.8025536070082356,0.45325571465843895,014,camel_deriv,2,raw,corr,"large
annulus"
9,0.5527926655445811,1.7485917730442408,0.14520064403196986,015,linear,0,raw,corr,"large
annulus"
9,-0.79503849382102,-3.7792984973150756,0.5354811261100774,015,camel,1,raw,corr,"large
annulus"
9,-2.2344538036056867,-3.6789052376540052,0.7395882448428992,015,camel_deriv,2,raw,corr,"large
annulus"
10,0.8016572296102074,6.198300005049881,0.680958106642302,022,linear,0,raw,corr,"large
annulus"
10,0.20696136775590526,1.9634601996266892,0.7399344796395351,022,camel,1,raw,corr,"large
annulus"
10,0.9941151287253099,3.7373320261928384,0.8886208249158063,022,camel_deriv,2,raw,corr,"large
annulus"
