subject,event_type,epoch,gm
010,suppr_2,8,-0.9474489
010,suppr_2,9,0.78078574
011,act,0,0.88238794
011,act,1,1.190507
011,act,2,1.2991953
011,act,3,-0.13182215
011,act,4,0.49020556
011,act,5,1.191431
011,act,6,1.6999999
011,act,7,1.4067962
011,act,8,0.46616268
011,act,9,1.2217839
011,suppr_1,0,0.6547635
011,suppr_1,1,0.7436377
011,suppr_1,2,-0.3236164
011,suppr_1,3,-0.37412658
011,suppr_1,4,0.9268601
011,suppr_1,5,1.0040817
011,suppr_1,6,1.0979958
011,suppr_1,7,0.83247197
011,suppr_1,8,0.83651257
011,suppr_1,9,-0.37214753
011,suppr_2,0,0.7595137
011,suppr_2,1,-0.047405727
011,suppr_2,2,0.1941483
011,suppr_2,3,0.4286383
011,suppr_2,4,-0.9961877
011,suppr_2,5,-0.18270607
011,suppr_2,6,-1.0826497
011,suppr_2,7,0.35858566
011,suppr_2,8,0.73023874
011,suppr_2,9,0.013339281
013,act,0,2.4981422
013,act,1,1.8044672
013,act,2,1.7459458
013,act,3,1.8617709
013,act,4,2.1608012
013,act,5,1.7850529
013,act,6,1.6959642
013,act,7,1.9370455
013,act,8,1.8920884
013,act,9,3.4229965
013,suppr_1,0,0.6105669
013,suppr_1,1,-0.3455829
013,suppr_1,2,0.98412645
013,suppr_1,3,0.24291417
013,suppr_1,4,0.42343244
013,suppr_1,5,0.4935663
013,suppr_1,6,0.5362496
013,suppr_1,7,0.30004904
013,suppr_1,8,-0.03516637
013,suppr_1,9,1.3952131
013,suppr_2,0,-0.7731784
013,suppr_2,1,-0.6374291
013,suppr_2,2,-0.13689083
013,suppr_2,3,-0.7828494
013,suppr_2,4,0.48020276
013,suppr_2,5,0.2820538
013,suppr_2,6,-0.32669345
013,suppr_2,7,-0.13971852
013,suppr_2,8,-0.97937906
013,suppr_2,9,-0.83390254
014,act,0,1.5965238
014,act,1,1.1036425
014,act,2,1.4994473
014,act,3,2.31652
014,act,4,2.6303356
014,act,5,1.6041619
014,act,6,1.1240985
014,act,7,1.5319662
014,act,8,1.8667661
014,act,9,1.1318309
014,suppr_1,0,-0.123200156
014,suppr_1,1,0.24502435
014,suppr_1,2,0.5996434
014,suppr_1,3,-1.0600921
014,suppr_1,4,-1.4990695
014,suppr_1,5,-0.36538234
014,suppr_1,6,-0.90982246
014,suppr_1,7,-0.3452968
014,suppr_1,8,-1.0125405
014,suppr_1,9,0.74194
014,suppr_2,0,-1.0423245
014,suppr_2,1,-0.1942388
014,suppr_2,2,-0.21848363
014,suppr_2,3,0.5656112
014,suppr_2,4,0.010122788
014,suppr_2,5,0.31510472
014,suppr_2,6,-0.00076273945
014,suppr_2,7,0.5069845
014,suppr_2,8,0.03748715
014,suppr_2,9,0.03946616
015,act,0,2.147857
015,act,1,1.4052427
015,act,2,2.476045
015,act,3,0.828104
015,act,4,2.4684594
015,act,5,1.711424
015,act,6,1.0183601
015,act,7,2.3852558
015,act,8,1.8977529
015,act,9,1.9308126
015,suppr_1,0,0.36124364
015,suppr_1,1,0.05322492
015,suppr_1,2,0.17165487
015,suppr_1,3,-0.121619515
015,suppr_1,4,0.39260945
015,suppr_1,5,-0.2626339
015,suppr_1,6,0.11099502
015,suppr_1,7,0.06741041
015,suppr_1,8,1.1839546
015,suppr_1,9,0.15657389
015,suppr_2,0,0.086435385
015,suppr_2,1,0.20112278
015,suppr_2,2,0.2732009
015,suppr_2,3,-0.41757038
015,suppr_2,4,0.33648703
015,suppr_2,5,0.2786211
015,suppr_2,6,-0.18703046
015,suppr_2,7,0.58327204
015,suppr_2,8,-0.2629853
015,suppr_2,9,0.3580601
022,act,0,2.7352548
022,act,1,2.718351
022,act,2,3.1109698
022,act,3,2.273934
022,act,4,2.7504478
022,act,5,2.2088435
022,act,6,2.8545725
022,act,7,3.2663882
022,act,8,3.306833
022,act,9,3.2234223
022,suppr_1,0,0.17648166
022,suppr_1,1,-0.3108825
022,suppr_1,2,0.4639201
022,suppr_1,3,-0.39297816
022,suppr_1,4,0.13952278
022,suppr_1,5,0.06425593
022,suppr_1,6,-0.05072428
022,suppr_1,7,-1.5687355
022,suppr_1,8,0.31527132
022,suppr_1,9,-0.51240915
022,suppr_2,0,0.3715705
022,suppr_2,1,0.33554903
022,suppr_2,2,0.63329834
022,suppr_2,3,-0.12434477
022,suppr_2,4,-0.03312363
022,suppr_2,5,-0.3066007
022,suppr_2,6,-0.13158907
022,suppr_2,7,0.1317301
022,suppr_2,8,-0.43977603
022,suppr_2,9,0.65143096
