preproc,method,event_type,subject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
uncorr,raw,center,008,1.3409123476377698,1.279714052883036,0.943123646196613,1.135016290820349,1.4823450694327922,1.0627753171472696,0.7499481144905233,1.3444434481630967,1.7145975809371843,1.604020016756429,1.450696691962663,1.2546276114266215,0.5485202327024538,-0.3956048944655558,0.16673441863477217,0.9152291814615294,0.5778719754032816,0.3687812662951331,0.5957976071517305,0.637073425669376
uncorr,raw,center,010,0.9709573195240385,0.9034555333011539,0.9822076475665529,1.0609596839090578,1.1440687980624502,1.243153604872004,1.3422384238205987,1.3405960096200384,1.1576446194059062,0.9746932741940826,0.8966663574681477,0.9235639188220118,0.9504614610084461,1.0231888277461907,1.1213772605327375,1.2195656807009423,0.8555300590123658,0.36543339345074743,-0.12466322204848414,0.2954195795376398
uncorr,raw,center,011,1.4661981549779295,1.3473557475610207,1.585040565675238,1.822725444966801,1.8508892817753448,1.8092128224274695,1.5856264096255888,1.4259449721257456,1.2662635271396843,1.2813715415309181,1.3547426670290406,1.3509641942654973,1.1157369604040073,0.8805097154856746,0.9254569752877776,1.0637955549732727,1.145275303314303,1.0561783551591948,0.9670812159845904,1.0116297835796255
uncorr,raw,center,013,2.3877499285036143,2.48808545682956,2.0365756716867347,1.654884722939637,1.6222876478148356,1.5896904702615633,1.6280790616209886,1.6706432849339026,1.4434907177040406,1.1126009518126325,0.9591675177235309,0.9831903943462457,0.9310197858569924,0.6807460455540588,0.4376367448125458,0.31632249371510635,0.19500823693064684,0.2093640478572066,0.250853909595259,0.2416339405691228
uncorr,raw,center,014,1.225842772022967,1.3762698754200473,1.3762698754200473,1.225842772022967,1.0754156052935497,0.9249885130524639,0.8351890746888814,0.8060174079724125,0.776845747749311,0.7476741934157942,0.7581896390164908,0.8083923087129657,0.858594997700733,0.9087976444667056,1.0463398799566512,1.2712217283311777,1.4961036191383132,1.7209854439967418,1.7209854439967418,1.4961036191383132
uncorr,raw,center,022,3.296256292121813,3.5167980984299985,3.5167980984299985,3.296256292121813,3.0757144312420666,2.8551726500019843,2.6796633708959012,2.549186599035178,2.4187098700109475,2.2882330781817712,2.2271304526146944,2.235401787115489,2.2436732778191075,2.2519446309269346,2.139011403247337,1.9048734531212002,1.6707354411412663,1.4365974736474298,1.4365974736474298,1.6707354411412663
uncorr,raw,"medium
annulus",008,-0.8350256242990053,-1.0337836719029565,-2.1269523130544417,-1.4991241037546246,-0.3651200858259633,-0.18305084320689693,0.040464838596221894,0.8135659701248614,1.132414402694778,0.47786399932648893,-0.24729235468747618,-1.0430547295312105,-0.5299222579982447,0.5940279494835,1.087104403581074,1.4802632673320113,1.866996715016812,2.0520143703524623,1.5511987118802837,1.4601413260957936
uncorr,raw,"medium
annulus",010,-0.25516350397800236,-0.3552027614117697,-0.2384902895089459,-0.12177781911132102,-0.025865910189890415,-0.0062225993542288655,0.013420693513941366,-0.01854879709133367,-0.1434212424463472,-0.26829375726506066,-0.18566486028528875,0.10446532474433867,0.3945955070274786,0.307680291802308,0.011295401075232652,-0.2850895224199955,-0.3152917478300475,-0.2728986397065666,-0.23050552879671551,-0.26684247217156437
uncorr,raw,"medium
annulus",011,-0.14079036232316938,-0.15457528408490673,-0.127005454225772,-0.0994356348292779,0.22667543617370775,0.6523002345090905,0.7140325324347938,0.5159185972392091,0.3178046535469878,0.29505511096927955,0.3307603697063281,0.45303292219647273,0.8350072949384272,1.2169818971975508,1.0248452469943727,0.6413384646731856,0.43115364256388966,0.7409347259915654,1.0507158091880195,0.8958252808211911
uncorr,raw,"medium
annulus",013,1.0670390117928819,1.12799479671551,0.8536936820042921,0.5817110101285613,0.32132030058815353,0.06092964049330509,0.37417010789457084,0.7211535630244823,0.6421466316926504,0.39929714682379236,0.43585098332967004,0.751808120175691,0.9814211605342089,0.9865396251121977,0.9871651830643741,0.9114123232814302,0.8356595001399102,0.9015184712560632,0.9956998347569578,0.9747705891137864
