,subject,depth,linear,peak_upper,deriv_upper,peak_deep,deriv_deep,event_type,response
0,1,0,1.0,3.85795247845909e-06,1.4351876331745704e-49,0.0004242082537136424,5.937225041628139e-43,center,3.060354774350864
1,1,1,0.9473684210526315,0.0004280662061921015,5.937226476815773e-43,0.007839989003240847,4.0552331605250924e-37,center,3.0611409772856417
2,1,2,0.8947368421052632,0.015683835958960154,8.11046632105162e-37,0.09466077726194468,1.8292173708558423e-31,center,2.894289240718079
3,1,3,0.8421052631578947,0.18974962073008145,3.658434741717622e-31,0.371182180777932,2.724595794762845e-26,center,2.879196821613713
4,1,4,0.7894736842105263,0.7580481975148242,5.449191589606794e-26,0.40512518963495925,1.3400658030983542e-21,center,2.551744567249125
5,1,5,0.7368421052631579,1.0,2.680131606562552e-21,-0.1612228012807434,2.1763936221812155e-17,center,2.1043511438932905
6,1,6,0.6842105263157895,0.4356025949533374,4.352787249811623e-17,-0.46867160120514767,1.167175165140125e-13,center,1.71030265346572
7,1,7,0.631578947368421,0.06265679758970469,2.3343503570815663e-13,-0.21631329651426595,2.0669114597562207e-10,center,1.4309592928261068
8,1,8,0.5789473684210527,0.0029760019248055093,4.1338233547911664e-10,-0.03130506123185124,1.2086335705923708e-07,center,1.231196880030616
9,1,9,0.5263157894736842,4.6675126002199454e-05,2.4172694755350985e-07,-0.0014878800989289779,2.3337356309931786e-05,center,1.036636505125495
10,1,10,0.47368421052631576,2.41726947553512e-07,4.667512600219905e-05,-2.333735630993199e-05,0.0014878800989289692,center,0.7358936000046952
11,1,11,0.42105263157894735,4.133823354791225e-10,0.002976001924805492,-1.2086335705923816e-07,0.03130506123185125,center,0.3968977803747517
12,1,12,0.3684210526315789,2.3343503570815663e-13,0.0626567975897047,-2.06691145975625e-10,0.21631329651426598,center,0.1757911612222635
13,1,13,0.3157894736842105,4.352787249811622e-17,0.4356025949533375,-1.167175165140125e-13,0.46867160120514767,center,0.0253642824963786
14,1,14,0.2631578947368421,2.6801316065625515e-21,1.0,-2.1763936221812152e-17,0.16122280128074365,center,0.0903844429116941
15,1,15,0.21052631578947367,5.44919158960687e-26,0.7580481975148248,-1.340065803098354e-21,-0.40512518963495914,center,0.2191937286497709
16,1,16,0.15789473684210525,3.658434741717621e-31,0.18974962073008178,-2.724595794762883e-26,-0.3711821807779323,center,0.2832716815221192
17,1,17,0.10526315789473684,8.110466321051618e-37,0.015683835958960154,-1.829217370855842e-31,-0.09466077726194484,center,0.251463172698138
18,1,18,0.05263157894736842,5.9372264768159415e-43,0.0004280662061921046,-4.055233160525092e-37,-0.007839989003240847,center,0.2908079784046735
19,1,19,0.0,1.4351876331745702e-49,3.857952478459091e-06,-5.937225041628308e-43,-0.0004242082537136455,center,0.2813825615342595
20,1,0,1.0,3.85795247845909e-06,1.4351876331745704e-49,0.0004242082537136424,5.937225041628139e-43,medium,0.4166016557512041
21,1,1,0.9473684210526315,0.0004280662061921015,5.937226476815773e-43,0.007839989003240847,4.0552331605250924e-37,medium,0.7523504677260429
22,1,2,0.8947368421052632,0.015683835958960154,8.11046632105162e-37,0.09466077726194468,1.8292173708558423e-31,medium,0.0963207745480844
