event_type,method,preproc,model,model_ix,0,1,2,3,4,5,6,7,8,9,10
center,raw,corr,linear,0,0.9774769811004876,0.9201232868667385,0.18328311705686776,0.5529885714260946,-0.7795051495270837,0.12354203781333413,0.7100643657772534,0.36421051359691614,1.4824437606698628,0.7211683905874448,1.382449560926284
center,raw,corr,linear,0,2.1350822461707155,1.020596737802819,0.8129077446476408,0.2586885484556328,2.623003538158072,0.9126148865035943,1.2024925067032406,2.8814414526243195,-0.9596744683559543,0.9867476667243451,2.031293838992307
center,raw,corr,camel,1,0.9677522520854691,0.9279384848048419,0.22804148546194017,0.7996307934876732,-0.8339285549700306,0.18509926969397864,0.7340576187968717,0.34389006776315256,1.5941764251398176,0.7645178618854054,1.3556433216106982
center,raw,corr,camel,1,2.1350822461707146,1.0205967378028191,0.8129077446476415,0.25868854845563277,2.6230035381580716,0.912614886503595,1.2024925067032406,2.8814414526243195,-0.9596744683559544,0.9867476667243447,2.0312938389923083
center,raw,corr,camel,1,0.039448098441525636,-0.031702137625241045,-0.1815611026485705,-1.0004974576356218,0.2207670622102451,-0.2497052348980821,-0.09732797752909716,0.08242933519155327,-0.4532405109013879,-0.17584594989834823,0.10873877984005664
center,raw,corr,camel_deriv,2,1.0664121196331406,0.9004095992172538,0.17095441066873338,0.9591861565743053,-0.8320181031389441,0.16093548718205467,0.7071103592632344,0.43713144145544197,1.5742810631064783,0.697635175491184,1.33771602142307
center,raw,corr,camel_deriv,2,1.937713319920148,1.0756669466407318,0.9270915816966799,-0.06041491641458596,2.6192581693145565,0.9609195266895968,1.256379747860946,2.694933401912878,-0.9199247636997165,1.1204962196218244,2.0671454343596847
center,raw,corr,camel_deriv,2,0.32918017008456957,-0.10634952320686422,-0.37001465954842927,-0.4768174324960151,0.36098623436748206,-0.1806562931640417,-0.17461990582156578,0.2930554651763526,-0.5046623809375248,-0.39444790999968266,-0.00916718631947816
center,raw,corr,camel_deriv,2,-0.2502167731100587,0.04292825685158566,0.006879220197901548,-1.5241874024493358,0.08044470185385211,-0.31872285898583275,-0.020026106876331273,-0.12816222789048592,-0.40176260420336474,0.042778987874598606,0.22664885114417122
center,raw,corr,camel_deriv,2,0.8083283223128764,-0.2344294379053882,-0.0697809176845343,-0.33769531049758855,-1.8420148967335093,-0.3052180839632443,0.10053098851442392,0.7262716212051527,0.6154408282504632,0.3567274158254312,0.35316624113806616
center,raw,corr,camel_deriv,2,-0.75832789092367,0.16168936670179423,0.23874860233872253,-0.10643492474532315,0.5636430396205182,-1.035335916818983,-0.13125828731466124,-0.07959711805424559,-0.6909589490212688,-0.17895804555473843,0.25746175436497704
"medium
annulus",raw,corr,linear,0,0.3797440180589586,0.2581953182644693,0.07306187109103388,0.1511709021906595,1.0846479052843625,-0.24357303502749014,1.161457966565976,0.7820831607731562,-0.7420386771045918,0.041400064587715654,0.24321432717104863
"medium
annulus",raw,corr,linear,0,0.3444346681970398,-0.28252121693999077,0.016692841550256857,0.06897201272952265,-1.3846049873084287,0.33074958516503433,-0.9622640982444848,-0.2633251558903698,0.8573896112159444,0.25702770442748035,-0.40938113928293113
"medium
annulus",raw,corr,camel,1,0.49757668779691305,0.32414089764936044,0.10594342433054427,0.1365228715080187,0.9161131649525667,-0.30843460234932135,1.1762432025705405,0.7419993551605116,-0.7984226223495581,0.013875015941546368,0.2680767478835358
"medium
annulus",raw,corr,camel,1,0.3444346681970396,-0.28252121693999077,0.016692841550256906,0.06897201272952269,-1.3846049873084278,0.3307495851650341,-0.9622640982444848,-0.2633251558903697,0.8573896112159438,0.25702770442748046,-0.40938113928293096
"medium
annulus",raw,corr,camel,1,-0.47798501616567346,-0.26750644705276433,-0.13338312533945215,0.05941933759294396,0.683656584893818,0.26310918163700325,-0.05997590724517471,0.16259886597112677,0.228719938530924,0.11165461031612706,-0.1008537326074703
"medium
annulus",raw,corr,camel_deriv,2,0.4348888817341947,0.2717571795711838,0.12293869750935146,0.5685774714111469,0.8092688943587485,-0.37689511442844553,1.2936859444731506,0.8946384903205171,-0.8058900686276371,-0.04285430724281485,0.21264432312620565
"medium
annulus",raw,corr,camel_deriv,2,0.4698800774361067,-0.17775288436885933,-0.017325819105670007,-0.7951230068711405,-1.1708434873775264,0.46767888327630935,-1.197164878700977,-0.568598418488665,0.8723124969784709,0.3705196550644713,-0.2985131219951521
"medium
annulus",raw,corr,camel_deriv,2,-0.6329769122435193,-0.49742181400153873,-0.14575477018611224,1.3109451410769166,0.3407743009331432,0.16136258396675557,0.24281263390324853,0.6911154140961564,0.17935672039767106,-0.09277393613028591,-0.3003216122502435
"medium
annulus",raw,corr,camel_deriv,2,-0.3230884700018131,-0.03759230469720875,-0.12097307351883008,-1.1921258374855437,1.0264391998347722,0.36484447625088745,-0.3627435516214085,-0.3659245232080659,0.27809955915821305,0.3160376597648913,0.09860981953694824
"medium
annulus",raw,corr,camel_deriv,2,-1.265867298712591,0.3338090013919257,0.7478052654548442,-0.036691487810971035,-1.050897962438673,-0.6201322309976447,0.47272691628629776,-0.42285625070165234,0.31967440955969667,-0.3652073500322153,0.10985652954207385
"medium
annulus",raw,corr,camel_deriv,2,0.9570543064954182,0.3623583163074456,-0.147588224096308,0.41492439914623275,1.2727162711252653,-0.356620633061153,-0.01444590262715553,-0.263368669978281,-0.06272193299063465,0.6954780225964272,0.21074481760159341
"large
annulus",raw,corr,linear,0,-0.28967520751489634,0.6352049565325154,0.05736662576508557,-0.0038374430308667296,-0.09939814291991594,-0.2559337334373593,-0.010981254865157133,-0.19499775268355576,-0.041998126854877485,-0.19682463095399585,-0.3479599420957093
"large
annulus",raw,corr,linear,0,1.1888513191123857,-0.5927049428304575,-0.24607531425634366,0.5044993508839576,0.6191981037111438,0.38612959534265096,-0.15444769507114856,0.19830947678934233,-0.047067413401570564,0.5527926655445811,0.8016572296102074
"large
annulus",raw,corr,camel,1,-0.5597441109299254,0.6446803087836191,0.03629683237126987,0.007962285458226874,-0.44667092342789055,-0.18839195936786943,-0.10998095129375952,-0.30352408798689284,-0.09558249267554006,-0.0008320682103510312,-0.3989799734157794
"large
annulus",raw,corr,camel,1,1.1888513191123864,-0.5927049428304572,-0.24607531425634352,0.5044993508839575,0.6191981037111436,0.38612959534265073,-0.1544476950711486,0.19830947678934197,-0.0470674134015705,0.552792665544581,0.8016572296102071
"large
annulus",raw,corr,camel,1,1.0955271526288635,-0.03843650838932372,0.0854690431638964,-0.047865277305120996,1.408702577766822,-0.27398136732587874,0.40158957276498214,0.4402341239465115,0.2173635208297998,-0.79503849382102,0.20696136775590526
